,Intersection,Lead,Arsenic,Lat,Lon
811,Westbank Dr.@Pinnacle Rd.,0.0,0.0,30.27039,-97.80819
812,Westgate@Stassney,7.328,1.656,30.219,-97.80716
813,Westgate@William Cannon,5.525,0.0,30.2071,-97.8154
814,Westloop@Halwill Pl,34.32,0.0,30.37185,-97.71863
815,Westmoor@Berkman Dr. ,23.51,0.0,30.30704,-97.69692
816,Westslope Dr@F.M. 2222,10.24,0.0,30.34145,-97.78069
817,Westview @ Lucas,40.0,21.0,30.3338,-97.7638
818,Westview@Beverly Hills,97.0,18.0,30.33612,-97.7671
819,Westview@Lucas,19.0,0.0,30.3338,-97.7638
820,Wethersby Way@Zeller Lane,0.0,7.89,30.39822,-97.65727
821,Wheless @ Manor,28.0,0.0,30.3078,-97.67853
822,Whispering Valley Dr@Misty Brook,8.94,5.79,30.41776,-97.73278
823,Whispering Valley Dr@Misty Brook Dr,8.63,7.07,30.41776,-97.73278
824,Whispering Winds@Whispering Oaks,0.0,0.0,30.20318,-97.81421
825,Whitebrook@Crystal Brook,9.15,0.0,30.30494,-97.6529
826,Wild Briar Pass@Shannon Oaks,10.7,0.0,30.2778,-97.82296
827,Wildcat Pass@Wolverine St,0.0,7.1,30.34241,-97.72045
828,William Cannon@Westgate,0.0,18.0,30.2071,-97.8154
829,Willow Springs Rd@Woodward,31.18,0.0,30.22781,-97.75631
830,Willow@Chicon,40.0,0.0,30.25621,-97.72507
831,Willow@San Saba,67.35,0.0,30.25299,-97.71585
832,Windsor@Exposition,0.0,0.0,30.29667,-97.76822
833,Windsor@Lamar,0.0,0.0,30.26759,-97.74299
834,Windsor@Lorrain,270.04,0.0,30.28225,-97.75442
835,Winwick@N. Shields,12.09,6.9,30.42566,-97.69668
836,Wm. Cannon @ TX Hwy 71,16.0,0.0,30.23676,-97.83763
837,Woodland@Woodleigh,102.7,0.0,30.26759,-97.74299
838,Woodlawn @Cromwell Hill,13.56,0.0,30.28553,-97.75913
839,Woodmont@Stamford Ln,0.0,0.0,30.2919,-97.76931
840,Woodmoor@Tannehill,0.0,3.0,,
841,Woodrow@Brentwood,35.88,0.0,30.33739,-97.72845
842,Woodrow@Madison,25.85,0.0,30.34414,-97.72524
843,Wynne@Albert,23.47,9.66,30.26759,-97.74299
844,Yaupon@Dianella,12.52,0.0,30.41003,-97.7769
845,jamie Dr@Siltstone,12.45,0.0,30.26759,-97.74299
846,s. 3rd@Annie,126.99,0.0,30.24832,-97.75865
