,Intersection,Lead,Arsenic,Lat,Lon
192,Byton Loop@Cherry Creek,0.0,5.28,,
193,C.Chavez @ Mopac,15.0,0.0,30.34196,-97.75325
194,CR 470@CR 619,15.0,0.0,30.26759,-97.74299
195,CR 470@CR 619 (Black Mud Sample),15.0,0.0,30.10907,-97.7208
196,CR 470@CR 619 (Pond Sample),0.0,0.0,30.26759,-97.74299
197,Caesar Chavez @ Chicon,19.0,9.0,30.25712,-97.72464
198,Caira Cv@Scotland Well Dr,4.945,0.0,30.4265,-97.79659
199,Calaveras Dr.@Terra Verde,0.0,7.0,30.49662,-97.77037
200,Calles@Smith St.,0.0,0.0,30.23799,-97.58685
201,Camacho St. @Berkman Dr. ,0.0,0.0,30.29567,-97.70029
202,Cameron @ E. Anderson,9.0,0.0,30.3328,-97.68613
203,Canterbury @ Navasota,63.0,0.0,30.2576,-97.73124
204,Carlsbad Dr@Napa Dr,9.98,0.0,30.31219,-97.92525
205,Catalpa Street@Waller Street,22.0,0.0,30.27174,-97.72799
206,Ceylon Tea Cir@Sumatra,13.98,0.0,30.21211,-97.83928
207,Chalmers @ 11th,43.0,0.0,30.26677,-97.72253
208,Chappell Ln @ Manchaca,10.0,0.0,30.15171,-97.82575
209,Charred Oak Dr.@Sweetshade Lane,0.0,0.0,30.42656,-97.77184
210,Cherie@Bittern Hollow,9.79,0.0,30.39793,-97.69505
211,Cherrywood @ Edgewood,19.0,0.0,30.28799,-97.71602
212,Cherrywood@Manor,17.0,0.0,30.2844,-97.7185
213,Chicon @ 11th,86.0,0.0,30.26606,-97.72053
214,Chicon @ 7th,15.0,9.0,30.26255,-97.72215
215,Chisholm Lane@Slaughter - Front Side,15.0,0.0,30.17386,-97.81095
216,Chisholm Lane@Slaughter-Garden,14.0,0.0,30.17386,-97.81095
217,Chisholm Lane@Slaughter-West Side,180.0,0.0,30.17386,-97.81095
218,Chisholm ln@Slaughter,19.88,0.0,30.17386,-97.81095
219,Chisolm @ Slaughter (front),17.0,0.0,30.20064,-97.87165
220,Chisolm Ln. @ Slaughter,15.5,0.0,30.20064,-97.87165
221,Clara St@Pedernales ,166.47,0.0,30.2538,-97.71818
222,Clara@Willow,23.0,0.0,30.25381,-97.71818
223,Clayton@Cameron Rd,61.78,18.01,30.31727,-97.69964
224,Clydesdale @Harpers Ferry,0.0,25.0,30.20463,-97.83012
225,Coffee Bean  @Sambuca Cir,20.4,0.0,30.46388,-97.68706
226,Colberg@Ruckland,10.95,6.78,30.21064,-97.88908
227,Colony Loop Dr@Valley Field Dr,10.64,0.0,30.29868,-97.62961
228,Comal @ Concho St.,34.0,0.0,30.26585,-97.72404
229,Connecticut Dr.@Jamestown,9.0,0.0,30.35859,-97.70504
230,Connor @Cambourne,7.14,0.0,30.41189,-97.65058
231,Convict Hill Rd.@Escarpment Blvd.,0.0,0.0,30.22577,-97.86859
232,Convict Hill@Whistlestop,8.97,6.35,30.22379,-97.86459
233,Cooper@Bodark Ln,15.1,0.0,30.19486,-97.79348
234,Copano@Eskew,0.0,14.0,30.20934,-97.84887
235,Coppermead@Edenbourgh,11.2,8.96,30.33293,-97.64522
236,Cornflower@Archaleta,11.3,7.26,30.26759,-97.74299
237,Coronado @Mathias,0.0,0.0,30.2622,-97.71476
238,Country Ln@Morning Sun Ln,0.0,5.19,,
239,Crenata@Jollyville,7.95,5.78,30.26759,-97.74299
240,Creole Dr. @Lamplight Village,0.0,0.0,30.4276,-97.68921
241,Creston Lane@Northway Drive,46.61,0.0,30.34366,-97.70974
242,Crestwind@Western Sky,14.69,0.0,,
243,Crown Ct@Villa Park,8.565,2.55,30.45941,-97.7709
244,Crystal Brook@Milrace,7.14,0.0,30.3156,-97.65196
245,Cushing Dr@School Days Dr,7.75,8.7,,
246,DG Collins@Hwy 183,9.09,0.0,30.26759,-97.74299
247,Davis Lane @ Star Cross,10.0,0.0,30.19532,-97.84232
248,Davis Ln@West Gate Blvd,0.0,0.0,30.19098,-97.83337
249,Decker Ln@Duffan,8.38,0.0,30.31036,-97.61563
250,Deen@N. Lamar,23.130000000000003,0.0,30.35656,-97.70124
251,Deer Track@Maverick Dr,21.65,0.0,30.42715,-97.73611
252,Delores Ave @Mason Ave,99.44,0.0,30.27534,-97.68449
253,Denson @ Guadalupe,0.0,0.0,30.32886,-97.72044
254,Denton@Delta,0.0,0.0,30.38751,-97.71732
255,Dinah Dr@Yvette Cv,5.66,3.02,30.16552,-97.8345
256,Dinah@Yvette,0.0,7.0,30.16552,-97.8345
257,Donovan Circle@Zeller Lane,0.0,0.0,30.39425,-97.66198
258,Dorchester Heights@Magna Carta Loop,0.0,9.0,30.34002,-97.64589
259,Dorman Dr. @ Jilbur,17.5,0.0,30.50591,-97.73334
260,Drake@Lockhart,678.0,33.0,30.24388,-97.74866
261,Drake@Park,199.0,0.0,30.24868,-97.74689
262,Dulac@Alvin High,8.55,0.0,30.46214,-97.75932
263,Duval @183,0.0,0.0,30.41909,-97.74646
264,Duval@183,12.5,0.0,30.41909,-97.74646
265,Dywer@Folts,10.48,0.0,30.25745,-97.76979
266,Dywer@Garner,11.91,0.0,30.25632,-97.76795
267,E 4th. @Brushy,250.0,0.0,30.26362,-97.73435
268,E Oltorf St.@Schriben St.,0.0,0.0,30.23465,-97.74371
269,E. 11th@Alamo,19.73,0.0,30.2530528,-97.7375257
270,E. 21st St. @ Alamo,30.0,0.0,30.28211,-97.71971
271,E. 28th @ Dancy St.,366.0,0.0,30.28572,-97.72243
272,E. 2nd @ Caney -- East,37.0,0.0,30.25698,-97.72128
273,E. 2nd @ Caney--West,31.0,0.0,30.25698,-97.72128
274,E. 34th @Speedway,0.0,0.0,30.29812,-97.73511
275,E. 9th St.@Lincoln,54.0,0.0,30.26389,-97.72011
276,E. Baker@Moonlit,0.0,0.0,,
277,E. Baker@Whisper Willow,13.35,0.0,30.2569,-97.72707
278,E. Powell Ln@Georgian Dr,15.83,0.0,30.34753,-97.70317
279,EM Franklin@MLK,0.0,0.0,30.19818,-97.74257
280,East 30th@Dancy,18.0,0.0,30.2954,-97.73977
281,East Hove Loop@Carran Ferry Loop,10.8,6.4,30.20127,-97.85426
282,East Hove Loop@Corran Ferry Loop,0.0,5.5,30.20127,-97.85426
283,East IH-35@Airport,42.0,0.0,30.25986,-97.73728
284,Eastside Memorial@Cafeteria,13.64,0.0,30.29527,-97.74002
285,Eastside Memorial@Humanity Courtyard,14.46,0.0,30.29527,-97.74002
286,Eastside Memorial@Large Banana Tree,13.48,7.59,30.29527,-97.74002
287,Eastside Memorial@Old Corner,8.2,7.43,30.29527,-97.74002
288,Eastside Memorial@Small Grove banana Tree,9.84,0.0,30.29527,-97.74002
289,Eastside Memorial@Veggie Garden,0.0,0.0,30.29527,-97.74002
290,Eastside Memorial@Windsor,72.74,0.0,30.29861,-97.77144
291,Easy Wind@Cannoneer,8.49,0.0,30.3441,-97.71784
292,Edenwood@Westgate,14.06,0.0,30.20323,-97.81776
293,Eilers@Fairfield Lane,85.3,0.0,30.3101,-97.71955
294,El Rey@El Dorado,13.853333333333333,7.05,30.22027,-97.9104
295,Elder Hill Rd.@FM 150,0.0,11.0,30.3534921,-97.9210372
296,Elk@Springdale,38.5,0.0,30.28562,-97.8081
297,Emerald Wood @ S. 1st,22.0,0.0,30.21289,-97.7785
298,Equestrian Trail@Anarosa Loop,5.785,0.0,30.42972,-97.69384
299,Escarpment @Davis,9.67,0.0,30.21164,-97.87643
300,Eskew Dr@Wakefield Dr,8.47,0.0,30.20559,-97.84262
301,Eton Lane@Amherst,0.0,0.0,30.41321,-97.72101
302,Eton Lane@Tarragonna,13.18,0.0,30.4148,-97.7232
303,Eton Ln. @ Duval,0.0,0.0,30.41449,-97.72295
304,Exeter@Roxmoor,13.07,0.0,30.30613,-97.68266
305,FM 1626@Bluebonnet,0.0,0.0,30.2547689,-97.7722291
306,FM 1854@CR 174,0.0,0.0,30.26759,-97.74299
307,FM 969@Blue B luff Lane,0.0,0.0,30.26257,-97.62122
308,FM 973@E. Braker,0.0,0.0,30.3832721,-97.6899876
309,Fair Oaks@Plumas,43.61,20.5,30.2202,-97.79661
310,Fairfield Ln@Evans,47.35,0.0,30.31072,-97.72075
311,Fairmont Cr. @ Fairhill Ln.,10.0,0.0,30.21847,-97.79778
312,Fairweather @ New Hope,0.0,0.0,,
313,Far West @Waterline,15.36,8.37,30.36046,-97.76797
314,Farnswood Circle@Barton Hills Drive,0.0,0.0,30.25305,-97.79123
315,Feather Ridge Tr.@Rocky Ridge Road,40.12,8.93,30.41989,-97.94353
316,Fence Post@El Salido,0.0,7.0,30.45595,-97.81995
317,Festival Garden@Holly Shores,16.34,0.0,30.23883,-97.71875
318,Fiesta@Lyons,24.13,0.0,30.26351,-97.70674
319,Fiesta@Stokes,13.3625,1.8325,30.26523,-97.70593
320,Fire Cove@Camp Fire Trail,0.0,6.84,30.2223,-97.85905
321,Fire Oak@Pradera,15.79,6.22,30.222,-97.85906
322,Fiskville Cemetary Rd@Rundberg,8.7,0.0,30.35493,-97.68285
323,Florencia@Pinon Vista,0.0,7.35,30.29014,-97.64374
324,Flynn Circle@Bargamin,13.0,0.0,30.2411,-97.89602
325,Forest Mesa@Spicewood Springs,21.0,11.0,30.36576,-97.75113
326,Forest Ridge@Indigo Trail,9.76,0.0,30.39257,-97.89067
327,Forest Trail@Vista Ln,14.05,0.0,30.2906,-97.76656
328,Fort Moultrie@Magna Carta Loop,0.0,10.0,30.33717,-97.6457
329,Foster Ln@Shoal Creek Blvd,29.0,0.0,30.35857,-97.74081
330,Franciso@Pedernales,0.0,0.0,30.26759,-97.74299
331,French@32nd,29.12,0.0,30.28767,-97.71873
332,Frend@32nd,46.68,0.0,30.3003,-97.74297
333,Friar Tuck@Long Bow,19.0,12.0,30.23446,-97.75104
334,Frostwood Trail@Briar Hollow,0.0,0.0,30.46007,-97.77237
335,Gabion Dr@Allerton Ave,17.51,6.59,30.21303,-97.88702
336,Gardenia Garden @ White Rock Dr.,0.0,0.0,30.33903,-97.74634
337,Garner Ave@Ashby,20.12,11.58,30.2551,-97.76869
338,Garner Ave@Treadwell St,89.8,0.0,30.25866,-97.76646
339,Gaylor @ Guadalupe,57.0,0.0,30.33278,-97.71769
340,George Bush@290,0.0,0.0,30.18974,-97.73479
341,Georgian@Walnut,18.57,0.0,30.35106,-97.7008
342,Geraghty@Vine,27.65,0.0,30.34698,-97.74303
343,Gettysburg @No Cross Street,11.17,5.85,30.2564,-97.73243
344,Gilber@Mountain View,21.59,6.65,30.29636,-97.77208
345,Gloucester@Claymoor,21.25,0.0,30.29924,-97.67956
346,Gochman@Zach Scott,0.0,0.0,30.29427,-97.7019
347,Golden Quail@Button Quail,15.375,0.0,30.37834,-97.70256
348,Gonzales@Pedernales,142.64,0.0,30.26184,-97.71328
349,Gonzalez@Springdale,80.5,0.0,30.28562,-97.8081
350,Goodwin@Tillery,0.0,7.0,30.2696,-97.70058
351,Goodwind@Gunter,10.33,0.0,30.26842,-97.69726
352,Gracy Farms Ln@Swearingen Dr,16.65,0.0,30.39566,-97.69259
353,Grayson Lane@Banton,34.57,0.0,30.28792,-97.70912
354,Great Valley @ Danridge,10.0,0.0,30.2766,-97.69839
355,Greenheard@Woodbine,23.04,0.0,30.29163,-97.75521
356,Greenlawn@Great Northern,24.54,0.0,30.35364,-97.74661
357,Greenlee@Rockcrest,0.0,0.0,30.33852,-97.70772
358,Grimes@Pflugerville Pkwy,8.72,0.0,30.28574,-97.75497
359,Grover @ Romer ,38.0,0.0,30.33193,-97.72748
360,Grover @ Woodrow,100.0,0.0,30.34839,-97.72326
361,Grover@Alguno,85.28,12.99,30.33118,-97.72797
362,Guadalupe Street@51st,0.0,5.36,30.31765,-97.72847
363,Guadalupe Street@51st Street,14.95,0.0,30.31765,-97.72847
364,Guadalupe@Airport,33.9,0.0,30.33396,-97.71693
365,Gunnison Pass@Purple Sage,13.0,0.0,30.30878,-97.65348
366,Hancock @ Valley Oak Dr.,44.0,0.0,30.3314,-97.7569
367,Hank ST@Casey,14.88,7.52,30.22491,-97.77965
368,Hank St@Casey,10.73,8.55,30.22491,-97.77965
369,Harmon Ave@54th,48.97,0.0,30.3136,-97.70992
370,Harris Glenn @Latchwood,0.0,0.0,30.4011,-97.64941
